Date,Open,High,Low,Close,Volume,Size
1992/1/31,313.24,313.24,312.73,313.24,35400,586786
1992/2/3,314.18,314.18,313.24,314.18,30500,583325
1992/2/7,314.72,314.72,314.18,314.72,32700,527451
1992/2/10,315.55,315.56,314.72,315.56,35400,586553
1992/2/11,316.12,316.43,315.56,316.43,29600,460159
1992/2/12,316.43,316.44,316.43,316.44,27000,397279
1992/2/13,317.24,317.57,317.04,317.04,102000,1686917
1992/2/14,319.45,319.68,317.04,319.68,45700,770875
1992/2/17,319.77,319.77,319.68,319.77,636900,13782082
1992/2/18,338.98,339.16,319.77,337.11,740700,12655298
1992/2/19,340.5,342.41,337.11,342.41,940100,16501609
1992/2/20,345.22,348.01,342.41,347.99,1034100,20004752
1992/2/21,358.91,359.93,347.99,359.59,1158200,19254248
1992/2/24,361.11,361.62,359.59,360.5,3015700,18038445
1992/2/25,359.66,361.29,357.07,360.37,486200,8037606
1992/2/26,359.85,360.76,359.27,360.1,575300,8082674
1992/2/27,361,363.03,360.1,362.45,952400,17931365
1992/2/28,364.15,364.67,362.45,364.66,986200,26401859
1992/3/2,365.15,365.39,364.66,365.39,340500,5644321
1992/3/3,366.79,367.25,365.39,367,298900,3366071
1992/3/4,367.56,368.32,366.95,368.32,561400,10365269
1992/3/5,369.31,369.88,368.11,369.76,836000,14928647
1992/3/6,370.79,371.76,369.76,371.76,523700,9958408
1992/3/9,372.26,374.06,371.88,373.53,2096800,22273776
1992/3/10,374.48,375.23,373.53,375.23,501100,7452592
1992/3/11,375.87,376.25,374.98,376.14,400100,11238040
1992/3/12,377.55,377.57,376.14,376.92,1032600,31594198
1992/3/13,376.58,377.19,376.38,376.38,252700,4487903
1992/3/16,377,377.42,376.38,377.05,264600,2265997
1992/3/17,377.5,377.84,377.03,377.49,89000,1340086
1992/3/18,377.94,378.32,377.49,377.66,402800,2252891
1992/3/19,377.26,377.96,376.21,377.31,1362800,35111209
1992/3/20,377.91,378.03,377.31,377.99,316000,7844940
1992/3/23,378.61,379.04,377.45,378.89,1029000,24375080
1992/3/24,378.53,379.5,378.05,378.69,437800,7016716
1992/3/25,378.33,379.02,378.12,378.12,1182000,21445413
1992/3/26,379.29,379.34,377.64,379.13,1022500,24177846
1992/3/27,379.65,380.79,379.13,380.77,189200,5469466
1992/3/30,381.54,381.56,380.76,381.44,1265500,40359446
1992/3/31,381.87,382.06,381.24,381.24,1739100,53853180
1992/4/1,381.55,381.85,381.01,381.01,406500,7767958
1992/4/2,381.47,381.58,381.01,381.12,167300,3193021
1992/4/3,381.44,381.57,381.12,381.33,170000,3377037
1992/4/6,381.97,382.08,381.33,381.47,529800,14543601
1992/4/7,381.95,382.1,381.47,381.93,1061300,30266448
1992/4/8,382.53,382.59,381.92,382.43,186600,5277806
1992/4/9,381.93,382.88,381.65,381.65,316800,7148212
1992/4/10,381.52,382.04,381.2,382.03,706600,13499395
1992/4/13,387.27,392.28,382.03,391.11,2059300,52440252
1992/4/14,393.1,400.61,391.1,400.61,941500,25184919
1992/4/15,400.35,406.72,398.23,406.72,1056600,25157481
1992/4/16,404.07,410.61,403.52,410.55,3921100,57466537
1992/4/17,408.56,414.42,406.19,414.42,1567800,45102529
1992/4/20,417.19,420.99,413.64,413.85,1017000,23206812
1992/4/21,417.99,421.55,402.89,410.06,5125700,72181075
1992/4/22,400.12,410.06,399.87,399.88,5059600,73539966
1992/4/23,407.13,408.86,394.6,407.25,5471800,71062030
1992/4/24,405.88,415.05,397.74,414.4,3470600,47646455
1992/4/27,422.45,424.92,413.47,424.58,3725700,53584928
1992/4/28,434.9,436.31,424.58,436.09,4239200,53950373
1992/4/29,445.25,446.12,436.09,444.16,5289900,66766725
1992/4/30,435.73,448.94,433.66,445.38,4570400,52587303
1992/5/4,454.86,456.24,445.38,453.62,6436200,101358171
1992/5/5,447.42,455.36,439.96,449.21,4935900,78293128
1992/5/6,449.78,454.08,446.39,449.96,3368700,54371218
1992/5/7,452.86,457.05,449.55,454.65,3441400,51743917
1992/5/8,461.05,468.42,454.65,468.11,4863400,84729008
1992/5/11,483.29,491.5,468.11,491.5,3095000,60653968
1992/5/12,502.8,506.68,491.5,506.53,3327800,65369229
1992/5/13,505.27,517.86,499.4,514.04,3389700,64664418
1992/5/14,514.48,523.5,511.91,523.36,3301000,60063574
1992/5/15,529.39,544.56,523.36,544.35,6328300,75109304
1992/5/18,560.09,571.85,544.35,571.82,2999200,61340826
1992/5/19,590.41,598.11,571.82,598.11,4779000,58722429
1992/5/20,617.28,623.88,598.11,616.99,6564600,119286157
1992/5/21,1260.32,1334.98,604.01,1266.49,8965700,181277356
1992/5/22,1306.37,1349.71,1262.44,1339.99,9372500,204173234
1992/5/25,1411.98,1428.79,1339.99,1421.57,8896900,222429087
1992/5/26,1332.39,1429.01,1291,1301.35,6812800,149448662
1992/5/27,1250.56,1285.61,823.36,1193.17,6452800,138824387
1992/5/28,1123.04,1184.18,1114.94,1160.17,4838900,117388178
1992/5/29,1243.65,1253.37,1154.01,1234.71,5161500,135997229
1992/6/1,1175.69,1249.58,1129.28,1183.24,3939400,105366093
1992/6/2,1155.88,1184.28,1138.58,1141.02,3403300,84509556
1992/6/3,1075.9,1141.02,1033.47,1059.07,4100200,91844888
1992/6/4,1087.49,1118.93,1050.45,1104.46,4318400,94263229
1992/6/5,1125.01,1143.07,1099.91,1105.76,4400700,100847244
1992/6/8,1092.07,1121.41,1085.19,1093.46,2874700,63968818
1992/6/9,1116.92,1144.39,1079.65,1126.62,3510000,78762151
1992/6/10,1199.23,1206.51,1134.73,1187.02,5873200,140149767
1992/6/11,1179.28,1188.68,1172.09,1178.3,3489700,85107111
1992/6/12,1164.12,1178.3,1153.97,1171.71,4720200,104835184
1992/6/15,1174.41,1181.86,1152.69,1171.85,3774700,78204178
1992/6/16,1171.75,1171.75,1164.24,1166.7,3515800,85477151
1992/6/17,1171.29,1186.59,1166.26,1169.57,3475500,84383974
1992/6/18,1167.16,1172.86,1158.32,1168.43,2910100,61629572
1992/6/19,1169.97,1171.94,1161.8,1171.94,2514600,55724545
1992/6/22,1173.68,1180.21,1165.74,1169.9,2792400,64265464
1992/6/23,1162.83,1172.46,1154.62,1158.17,1949000,44559364
1992/6/24,1150.89,1158.17,1144.46,1151.06,1697500,36497766
1992/6/25,1153.48,1160.23,1148.02,1160.23,1984600,50127998
1992/6/26,1164.29,1207.82,1160.23,1164.67,2906100,64137810
